,mouse,day,session,filepath
0,1,1,openfield,Junji/Data/2021cohort1/openfield/M1_D18_2021-02-03_14-06-47
1,1,1,vr,Junji/Data/2021cohort1/vr/M1_D13_2021-01-27_13-31-37
2,1,2,openfield,Junji/Data/2021cohort1/openfield/M1_D29_2021-02-18_14-59-40
3,1,2,vr,Junji/Data/2021cohort1/vr/M1_D23_2021-02-12_13-33-21
4,1,3,openfield,Junji/Data/2021cohort1/openfield/M1_D31_2021-02-22_15-00-42
5,1,3,vr,Junji/Data/2021cohort1/vr/M1_D37_2021-03-02_17-08-30
6,1,4,openfield,Junji/Data/2021cohort1/openfield/M1_D40_2021-03-05_14-50-50
7,1,4,vr,Junji/Data/2021cohort1/vr/M1_D4_2021-01-14_13-25-18
8,1,5,openfield,Junji/Data/2021cohort1/openfield/M1_D5_2021-01-15_14-09-59
9,1,5,vr,Junji/Data/2021cohort1/vr/M1_D5_2021-01-15_13-28-24
10,1,6,openfield,Junji/Data/2021cohort1/openfield/M1_D6_2021-01-18_14-15-24
11,1,6,vr,Junji/Data/2021cohort1/vr/M1_D6_2021-01-18_13-31-55
12,1,7,openfield,Junji/Data/2021cohort1/openfield/M1_D7_2021-01-19_14-10-12
13,1,7,vr,Junji/Data/2021cohort1/vr/M1_D7_2021-01-19_13-32-57
14,1,8,openfield,Junji/Data/2021cohort1/openfield/M1_D8_2021-01-20_13-54-30
15,1,8,vr,Junji/Data/2021cohort1/vr/M1_D8_2021-01-20_13-17-20
16,1,9,openfield,Junji/Data/2021cohort1/openfield/M1_D9_2021-01-21_14-01-47
17,1,9,vr,Junji/Data/2021cohort1/vr/M1_D9_2021-01-21_13-25-15
18,1,10,openfield,Junji/Data/2021cohort1/openfield/M1_D10_2021-01-22_14-17-57
19,1,10,vr,Junji/Data/2021cohort1/vr/M1_D10_2021-01-22_13-37-30
20,1,11,openfield,Junji/Data/2021cohort1/openfield/M1_D11_2021-01-25_14-11-13
21,1,11,vr,Junji/Data/2021cohort1/vr/M1_D11_2021-01-25_13-30-53
22,1,12,openfield,Junji/Data/2021cohort1/openfield/M1_D12_2021-01-26_14-15-53
23,1,12,vr,Junji/Data/2021cohort1/vr/M1_D12_2021-01-26_13-33-08
24,1,13,openfield,Junji/Data/2021cohort1/openfield/M1_D13_2021-01-27_14-09-15
25,1,13,vr,Junji/Data/2021cohort1/vr/M1_D13_2021-01-27_13-31-37
26,1,14,openfield,Junji/Data/2021cohort1/openfield/M1_D14_2021-01-28_14-15-08
27,1,14,vr,Junji/Data/2021cohort1/vr/M1_D14_2021-01-28_13-36-41
28,1,15,openfield,Junji/Data/2021cohort1/openfield/M1_D15_2021-01-29_14-08-23
29,1,15,vr,Junji/Data/2021cohort1/vr/M1_D15_2021-01-29_13-29-10
30,1,16,openfield,Junji/Data/2021cohort1/openfield/M1_D16_2021-02-01_14-17-58
31,1,16,vr,Junji/Data/2021cohort1/vr/M1_D16_2021-02-01_13-39-34
32,1,17,openfield,Junji/Data/2021cohort1/openfield/M1_D17_2021-02-02_14-04-44
33,1,17,vr,Junji/Data/2021cohort1/vr/M1_D17_2021-02-02_13-26-02
34,1,18,openfield,Junji/Data/2021cohort1/openfield/M1_D18_2021-02-03_14-06-47
35,1,18,vr,Junji/Data/2021cohort1/vr/M1_D18_2021-02-03_13-29-24
36,1,19,openfield,Junji/Data/2021cohort1/openfield/M1_D19_2021-02-04_14-29-45
37,1,19,vr,Junji/Data/2021cohort1/vr/M1_D19_2021-02-04_13-53-05
38,1,20,openfield,Junji/Data/2021cohort1/openfield/M1_D20_2021-02-05_14-07-01
39,1,20,vr,Junji/Data/2021cohort1/vr/M1_D20_2021-02-05_13-28-39
40,1,21,openfield,Junji/Data/2021cohort1/openfield/M1_D21_2021-02-08_14-12-15
41,1,21,vr,Junji/Data/2021cohort1/vr/M1_D21_2021-02-08_13-34-38
42,1,22,openfield,Junji/Data/2021cohort1/openfield/M1_D22_2021-02-09_14-02-02
43,1,22,vr,Junji/Data/2021cohort1/vr/M1_D22_2021-02-09_13-23-43
44,1,23,openfield,Junji/Data/2021cohort1/openfield/M1_D23_2021-02-12_14-10-41
45,1,23,vr,Junji/Data/2021cohort1/vr/M1_D23_2021-02-12_13-33-21
46,1,24,openfield,Junji/Data/2021cohort1/openfield/M1_D24_2021-02-13_14-41-34
47,1,24,vr,Junji/Data/2021cohort1/vr/M1_D24_2021-02-13_14-04-14
48,1,25,openfield,Junji/Data/2021cohort1/openfield/M1_D25_2021-02-14_14-44-41
49,1,25,vr,Junji/Data/2021cohort1/vr/M1_D25_2021-02-14_14-06-35
50,1,26,openfield,Junji/Data/2021cohort1/openfield/M1_D26_2021-02-15_14-06-31
51,1,26,vr,Junji/Data/2021cohort1/vr/M1_D26_2021-02-15_13-27-50
52,1,27,openfield,Junji/Data/2021cohort1/openfield/M1_D27_2021-02-16_14-29-33
53,1,27,vr,Junji/Data/2021cohort1/vr/M1_D27_2021-02-16_13-51-23
54,1,28,openfield,Junji/Data/2021cohort1/openfield/M1_D28_2021-02-17_14-10-56
55,1,28,vr,Junji/Data/2021cohort1/vr/M1_D28_2021-02-17_13-32-59
56,1,29,openfield,Junji/Data/2021cohort1/openfield/M1_D29_2021-02-18_14-59-40
57,1,29,vr,Junji/Data/2021cohort1/vr/M1_D29_2021-02-18_14-21-30
58,1,30,openfield,Junji/Data/2021cohort1/openfield/M1_D30_2021-02-19_14-42-16
59,1,30,vr,Junji/Data/2021cohort1/vr/M1_D30_2021-02-19_14-07-10
60,1,31,openfield,Junji/Data/2021cohort1/openfield/M1_D31_2021-02-22_15-00-42
61,1,31,vr,Junji/Data/2021cohort1/vr/M1_D31_2021-02-22_14-18-34
62,1,32,openfield,Junji/Data/2021cohort1/openfield/M1_D32_2021-02-23_14-39-42
63,1,32,vr,Junji/Data/2021cohort1/vr/M1_D32_2021-02-23_14-02-51
64,1,33,openfield,Junji/Data/2021cohort1/openfield/M1_D33_2021-02-24_14-49-03
65,1,33,vr,Junji/Data/2021cohort1/vr/M1_D33_2021-02-24_14-13-38
66,1,34,openfield,Junji/Data/2021cohort1/openfield/M1_D34_2021-02-25_15-08-43
67,1,34,vr,Junji/Data/2021cohort1/vr/M1_D34_2021-02-25_14-25-11
68,1,35,openfield,Junji/Data/2021cohort1/openfield/M1_D35_2021-02-26_14-45-10
69,1,35,vr,Junji/Data/2021cohort1/vr/M1_D35_2021-02-26_14-09-24
70,1,36,openfield,Junji/Data/2021cohort1/openfield/M1_D36_2021-03-01_14-51-11
71,1,36,vr,Junji/Data/2021cohort1/vr/M1_D36_2021-03-01_14-15-05
72,1,37,openfield,Junji/Data/2021cohort1/openfield/M1_D37_2021-03-02_17-44-30
73,1,37,vr,Junji/Data/2021cohort1/vr/M1_D37_2021-03-02_17-08-30
74,1,38,openfield,Junji/Data/2021cohort1/openfield/M1_D38_2021-03-03_14-58-31
75,1,38,vr,Junji/Data/2021cohort1/vr/M1_D38_2021-03-03_14-20-16
76,1,39,openfield,Junji/Data/2021cohort1/openfield/M1_D39_2021-03-04_15-12-32
77,1,39,vr,Junji/Data/2021cohort1/vr/M1_D39_2021-03-04_14-37-08
78,1,40,openfield,Junji/Data/2021cohort1/openfield/M1_D40_2021-03-05_14-50-50
79,1,40,vr,Junji/Data/2021cohort1/vr/M1_D40_2021-03-05_14-15-49
80,2,1,openfield,Junji/Data/2021cohort1/openfield/M2_D17_2021-02-02_14-37-58
81,2,1,vr,Junji/Data/2021cohort1/vr/M2_D15_2021-01-29_14-05-46
82,2,2,openfield,Junji/Data/2021cohort1/openfield/M2_D20_2021-02-05_14-39-38
83,2,2,vr,Junji/Data/2021cohort1/vr/M2_D20_2021-02-05_14-04-06
84,2,3,openfield,Junji/Data/2021cohort1/openfield/M2_D38_2021-03-03_14-22-38
85,2,3,vr,Junji/Data/2021cohort1/vr/M2_D39_2021-03-04_14-03-07
86,2,4,openfield,Junji/Data/2021cohort1/openfield/M2_D4_2021-01-14_14-43-59
87,2,4,vr,Junji/Data/2021cohort1/vr/M2_D40_2021-03-05_13-43-03
88,2,5,vr,Junji/Data/2021cohort1/vr/M2_D5_2021-01-15_14-06-43
89,2,6,openfield,Junji/Data/2021cohort1/openfield/M2_D6_2021-01-18_15-00-53
90,2,6,vr,Junji/Data/2021cohort1/vr/M2_D6_2021-01-18_14-08-34
91,2,7,openfield,Junji/Data/2021cohort1/openfield/M2_D7_2021-01-19_15-02-25
92,2,8,openfield,Junji/Data/2021cohort1/openfield/M2_D8_2021-01-20_14-28-24
93,2,8,vr,Junji/Data/2021cohort1/vr/M2_D8_2021-01-20_13-51-11
94,2,9,openfield,Junji/Data/2021cohort1/openfield/M2_D9_2021-01-21_14-35-07
95,2,9,vr,Junji/Data/2021cohort1/vr/M2_D9_2021-01-21_13-59-21
96,2,10,openfield,Junji/Data/2021cohort1/openfield/M2_D10_2021-01-22_14-52-28
97,2,10,vr,Junji/Data/2021cohort1/vr/M2_D10_2021-01-22_14-13-01
98,2,11,openfield,Junji/Data/2021cohort1/openfield/M2_D11_2021-01-25_14-52-08
99,2,11,vr,Junji/Data/2021cohort1/vr/M2_D11_2021-01-25_14-12-36
100,2,12,openfield,Junji/Data/2021cohort1/openfield/M2_D12_2021-01-26_14-54-54
101,2,12,vr,Junji/Data/2021cohort1/vr/M2_D12_2021-01-26_14-12-27
102,2,13,openfield,Junji/Data/2021cohort1/openfield/M2_D13_2021-01-27_14-47-14
103,2,13,vr,Junji/Data/2021cohort1/vr/M2_D13_2021-01-27_14-06-25
104,2,14,openfield,Junji/Data/2021cohort1/openfield/M2_D14_2021-01-28_14-53-34
105,2,14,vr,Junji/Data/2021cohort1/vr/M2_D14_2021-01-28_14-12-05
106,2,15,openfield,Junji/Data/2021cohort1/openfield/M2_D15_2021-01-29_14-42-01
107,2,15,vr,Junji/Data/2021cohort1/vr/M2_D15_2021-01-29_14-05-46
108,2,16,openfield,Junji/Data/2021cohort1/openfield/M2_D16_2021-02-01_14-53-20
109,2,16,vr,Junji/Data/2021cohort1/vr/M2_D16_2021-02-01_14-14-02
110,2,17,openfield,Junji/Data/2021cohort1/openfield/M2_D17_2021-02-02_14-37-58
111,2,17,vr,Junji/Data/2021cohort1/vr/M2_D17_2021-02-02_14-00-44
112,2,18,openfield,Junji/Data/2021cohort1/openfield/M2_D18_2021-02-03_14-43-31
113,2,18,vr,Junji/Data/2021cohort1/vr/M2_D18_2021-02-03_14-03-12
114,2,19,openfield,Junji/Data/2021cohort1/openfield/M2_D19_2021-02-04_15-03-54
115,2,19,vr,Junji/Data/2021cohort1/vr/M2_D19_2021-02-04_14-26-56
116,2,20,openfield,Junji/Data/2021cohort1/openfield/M2_D20_2021-02-05_14-39-38
117,2,20,vr,Junji/Data/2021cohort1/vr/M2_D20_2021-02-05_14-04-06
118,2,21,openfield,Junji/Data/2021cohort1/openfield/M2_D21_2021-02-08_14-44-35
119,2,21,vr,Junji/Data/2021cohort1/vr/M2_D21_2021-02-08_14-09-54
120,2,22,openfield,Junji/Data/2021cohort1/openfield/M2_D22_2021-02-09_14-34-38
121,2,22,vr,Junji/Data/2021cohort1/vr/M2_D22_2021-02-09_13-58-34
122,2,23,openfield,Junji/Data/2021cohort1/openfield/M2_D23_2021-02-12_14-42-43
123,2,23,vr,Junji/Data/2021cohort1/vr/M2_D23_2021-02-12_14-06-52
124,2,24,openfield,Junji/Data/2021cohort1/openfield/M2_D24_2021-02-13_15-16-05
125,2,24,vr,Junji/Data/2021cohort1/vr/M2_D24_2021-02-13_14-39-20
126,2,25,openfield,Junji/Data/2021cohort1/openfield/M2_D25_2021-02-14_15-17-15
127,2,25,vr,Junji/Data/2021cohort1/vr/M2_D25_2021-02-14_14-39-56
128,2,26,openfield,Junji/Data/2021cohort1/openfield/M2_D26_2021-02-15_14-39-37
129,2,26,vr,Junji/Data/2021cohort1/vr/M2_D26_2021-02-15_14-02-34
130,2,27,openfield,Junji/Data/2021cohort1/openfield/M2_D27_2021-02-16_15-07-14
131,2,27,vr,Junji/Data/2021cohort1/vr/M2_D27_2021-02-16_14-26-20
132,2,28,openfield,Junji/Data/2021cohort1/openfield/M2_D28_2021-02-17_14-44-08
133,2,28,vr,Junji/Data/2021cohort1/vr/M2_D28_2021-02-17_14-07-33
134,2,29,openfield,Junji/Data/2021cohort1/openfield/M2_D29_2021-02-18_14-26-36
135,2,29,vr,Junji/Data/2021cohort1/vr/M2_D29_2021-02-18_13-47-49
136,2,30,openfield,Junji/Data/2021cohort1/openfield/M2_D30_2021-02-19_14-09-16
137,2,30,vr,Junji/Data/2021cohort1/vr/M2_D30_2021-02-19_13-34-08
138,2,31,openfield,Junji/Data/2021cohort1/openfield/M2_D31_2021-02-22_14-21-25
139,2,31,vr,Junji/Data/2021cohort1/vr/M2_D31_2021-02-22_13-37-11
140,2,32,openfield,Junji/Data/2021cohort1/openfield/M2_D32_2021-02-23_14-06-25
141,2,32,vr,Junji/Data/2021cohort1/vr/M2_D32_2021-02-23_13-30-03
142,2,33,openfield,Junji/Data/2021cohort1/openfield/M2_D33_2021-02-24_14-15-38
143,2,33,vr,Junji/Data/2021cohort1/vr/M2_D33_2021-02-24_13-39-55
144,2,34,openfield,Junji/Data/2021cohort1/openfield/M2_D34_2021-02-25_14-27-46
145,2,34,vr,Junji/Data/2021cohort1/vr/M2_D34_2021-02-25_13-53-40
146,2,35,openfield,Junji/Data/2021cohort1/openfield/M2_D35_2021-02-26_14-12-11
147,2,35,vr,Junji/Data/2021cohort1/vr/M2_D35_2021-02-26_13-36-58
148,2,36,openfield,Junji/Data/2021cohort1/openfield/M2_D36_2021-03-01_14-17-19
149,2,36,vr,Junji/Data/2021cohort1/vr/M2_D36_2021-03-01_13-41-34
150,2,37,openfield,Junji/Data/2021cohort1/openfield/M2_D37_2021-03-02_17-11-31
151,2,38,openfield,Junji/Data/2021cohort1/openfield/M2_D38_2021-03-03_14-22-38
152,2,38,vr,Junji/Data/2021cohort1/vr/M2_D38_2021-03-03_13-47-22
153,2,39,openfield,Junji/Data/2021cohort1/openfield/M2_D39_2021-03-04_14-40-06
154,2,39,vr,Junji/Data/2021cohort1/vr/M2_D39_2021-03-04_14-03-07
155,2,40,openfield,Junji/Data/2021cohort1/openfield/M2_D40_2021-03-05_14-17-43
156,2,40,vr,Junji/Data/2021cohort1/vr/M2_D40_2021-03-05_13-43-03
157,3,1,openfield,Junji/Data/2021cohort2/openfield/M3_D19_2021-10-22_15-16-42
158,3,1,vr,Junji/Data/2021cohort2/vr/M3_D14_2021-10-14_15-44-21
159,3,2,openfield,Junji/Data/2021cohort2/openfield/M3_D24_2021-11-02_16-01-32
160,3,2,vr,Junji/Data/2021cohort2/vr/M3_D23_2021-11-01_14-50-45
161,3,3,openfield,Junji/Data/2021cohort2/openfield/M3_D30_2021-11-16_15-07-19
162,3,3,vr,Junji/Data/2021cohort2/vr/M3_D34_2021-11-22_15-44-57
163,3,4,openfield,Junji/Data/2021cohort2/openfield/M3_D4_2021-09-30_15-40-36
164,3,4,vr,Junji/Data/2021cohort2/vr/M3_D47_2021-12-09_14-31-14
165,3,5,openfield,Junji/Data/2021cohort2/openfield/M3_D5_2021-10-01_15-37-41
166,3,5,vr,Junji/Data/2021cohort2/vr/M3_D5_2021-10-01_15-02-27
167,3,6,openfield,Junji/Data/2021cohort2/openfield/M3_D6_2021-10-04_15-38-30
168,3,6,vr,Junji/Data/2021cohort2/vr/M3_D6_2021-10-04_15-00-56
