mouse,day,session,filepath
5,5,OF1,Wolf/MMNAV/raw/OF/M05_D05_2025-11-17_16-41-09_OF1
4,5,OF1,Wolf/MMNAV/raw/OF/M04_D05_2025-11-17_15-01-17_OF1
3,6,OF1,Wolf/MMNAV/raw/OF/M03_D06_2025-11-17_13-35-34_OF1
3,1,MMNAV1,Wolf/MMNAV/raw/VR/M03_D01_2025-11-12_16-50-28_MMNAV1
2,1,MMNAV1,Wolf/MMNAV/raw/VR/M02_D01_2025-11-12_17-50-28_MMNAV1
6,4,MMNAV1,Wolf/MMNAV/raw/VR/M06_D04_2025-11-16_15-20-00_MMNAV1
2,3,MMNAV1,Wolf/MMNAV/raw/VR/M02_D03_2025-11-14_13-00-00_MMNAV1
2,5,MMNAV1,Wolf/MMNAV/raw/VR/M02_D05_2025-11-16_12-45-00_MMNAV1
4,4,MMNAV1,Wolf/MMNAV/raw/VR/M04_D04_2025-11-16_14-09-45_MMNAV1
3,6,MMNAV2,Wolf/MMNAV/raw/VR/M03_D06_2025-11-17_14-15-43_MMNAV2
6,5,MMNAV2,Wolf/MMNAV/raw/VR/M06_D05_2025-11-17_18-00-00_MMNAV2
5,2,MMNAV1,Wolf/MMNAV/raw/VR/M05_D02_2025-11-14_15-23-02_MMNAV1
5,5,MMNAV2,Wolf/MMNAV/raw/VR/M05_D05_2025-11-17_17-13-24_MMNAV2
2,2,MMNAV1,Wolf/MMNAV/raw/VR/M02_D02_2025-11-13_13-00-00_MMNAV1
5,3,MMNAV1,Wolf/MMNAV/raw/VR/M05_D03_2025-11-15_15-10-21_MMNAV1
3,2,MMNAV1,Wolf/MMNAV/raw/VR/M03_D02_2025-11-13_14-16-12_MMNAV1
2,4,MMNAV1,Wolf/MMNAV/raw/VR/M02_D04_2025-11-15_13-00-00_MMNAV1
5,1,MMNAV1,Wolf/MMNAV/raw/VR/M05_D01_2025-11-13_16-02-32_MMNAV1
6,3,MMNAV1,Wolf/MMNAV/raw/VR/M06_D03_2025-11-15_15-50-00_MMNAV1
3,3,MMNAV1,Wolf/MMNAV/raw/VR/M03_D03_2025-11-14_14-03-17_MMNAV1
5,4,MMNAV1,Wolf/MMNAV/raw/VR/M05_D04_2025-11-16_14-46-40_MMNAV1
2,6,MMNAV2,Wolf/MMNAV/raw/VR/M02_D06_2025-11-17_13-30-00_MMNAV2
4,3,MMNAV1,Wolf/MMNAV/raw/VR/M04_D03_2025-11-15_14-31-14_MMNAV1
4,1,MMNAV1,Wolf/MMNAV/raw/VR/M04_D01_2025-11-13_15-04-38_MMNAV1
4,5,MMNAV2,Wolf/MMNAV/raw/VR/M04_D05_2025-11-17_15-24-48_MMNAV2
4,2,MMNAV1,Wolf/MMNAV/raw/VR/M04_D02_2025-11-14_14-42-20_MMNAV1
3,4,MMNAV1,Wolf/MMNAV/raw/VR/M03_D04_2025-11-15_13-51-52_MMNAV1
6,2,MMNAV1,Wolf/MMNAV/raw/VR/M06_D02_2025-11-14_16-00-00_MMNAV1
6,1,MMNAV1,Wolf/MMNAV/raw/VR/M06_D01_2025-11-13_16-40-00_MMNAV1
3,5,MMNAV1,Wolf/MMNAV/raw/VR/M03_D05_2025-11-16_13-31-29_MMNAV1
